6001;0
6002;0
6003;0
6004;0
6005;0
6006;6001
6007;6001
6008;6003
6008;6004
6009;6002
6009;6005
6010;6005
6011;6002
6011;6010
6012;6001
6013;6010
6014;6003
6014;6004
6014;6005
6015;6003
6016;6011
6017;6015
6018:6008
6019;6004
6019;6007
6020;0
6021;6006
6021;6007
6022;6004
6022;6011
6023;6014
6024;6020
6025;6014
6025;6018
6025;6019
6026;6019
6027;6020
6028;6018
6028;6022
6028;6023
6029;6021
6030;6022
6031;6017
6031;6018
6031;6022
6031;6023
6032;6020
6032;6024
6033;6027
6034;6021
6034;6023
6035;6022
6035;6023
6036;6020
6036;6024
6037;6006
6037;6012
6037;6020
6037;6027
6038;0
6038;0
6039;6012
6039;6021
6039;6023
6039;6029
6040;6023
6040;6025
6040;6026
6041;0
6042;6036
6043;0
